CustomerID,OrderID,OrderDate,OrderAmount
C0320,O00055,2022-08-29,31.44
C0131,O00056,2022-06-03,121.2
C0485,O00057,2022-04-06,107.56
C0307,O00058,2023-12-27,452.13
C0135,O00059,2022-10-21,30.79
C0021,O00060,2022-07-28,111.49
C0329,O00061,2022-12-09,5.34
C0167,O00062,2022-03-29,12.06
C0274,O00063,2023-01-25,0.39
C0388,O00064,2022-11-21,752.52
C0089,O00065,2022-06-06,162.09
C0316,O00066,2023-10-30,154.52
C0014,O00067,2023-10-13,71.28
C0242,O00068,2023-09-25,35.68
C0265,O00069,2023-07-31,16.4
C0346,O00070,2023-09-11,33.5
C0053,O00071,2023-10-21,47.16
C0386,O00072,2022-05-17,141.19
C0340,O00073,2023-11-05,77.58
C0092,O00074,2023-03-04,8.07
C0367,O00075,2023-03-28,1.82
C0444,O00076,2023-09-04,10.8
C0455,O00077,2022-05-21,52.85
C0428,O00078,2022-03-24,270.59
C0264,O00079,2022-06-26,101.45
C0431,O00080,2022-07-17,161.86
C0035,O00081,2023-09-16,62.81
C0206,O00082,2023-07-22,44.89
C0081,O00083,2023-11-22,11.47
C0420,O00084,2023-02-25,208.69
C0050,O00085,2023-02-05,152.86
C0360,O00086,2023-11-29,18.41
C0388,O00087,2023-04-16,71.8
C0002,O00088,2022-08-06,66.82
C0390,O00089,2023-12-30,98.11
C0054,O00090,2023-09-24,292.22
C0106,O00091,2022-06-24,86.7
C0260,O00092,2022-01-23,77.7
C0310,O00093,2023-12-26,5.16
C0477,O00094,2022-08-23,6.5
C0191,O00095,2022-01-13,20.75
C0402,O00096,2022-04-11,3.3
C0218,O00097,2023-06-20,136.01
C0044,O00098,2023-06-07,128.49
C0162,O00099,2023-03-28,14.62
C0202,O00100,2023-03-07,180.84
C0446,O00101,2023-08-29,16.82
C0484,O00102,2023-12-14,35.84
C0270,O00103,2023-06-17,28.63
C0351,O00104,2023-12-24,46.57
C0304,O00105,2023-10-14,29.39
C0271,O00106,2022-10-20,67.13
C0456,O00107,2022-04-11,52.32
C0462,O00108,2023-05-17,431.02
C0215,O00109,2022-10-31,5.76
C0252,O00110,2023-06-24,15.34
C0190,O00111,2023-07-07,5.43
C0296,O00112,2022-12-21,98.31
C0213,O00113,2022-10-30,5.61
C0208,O00114,2023-05-11,181.06
C0237,O00115,2023-10-20,71.73
C0338,O00116,2022-08-15,74.87
C0367,O00117,2022-08-24,82.46
C0053,O00118,2023-03-31,18.73
C0280,O00119,2022-01-13,22.03
C0410,O00120,2022-07-29,38.39
C0217,O00121,2023-02-01,90.02
C0252,O00122,2022-04-10,23.59
C0188,O00123,2022-01-31,12.37
C0380,O00124,2023-06-12,351.05
C0493,O00125,2023-10-11,2.22
C0041,O00126,2022-11-25,162.3
C0157,O00127,2022-06-15,155.13
C0015,O00128,2023-04-04,35.27
C0301,O00129,2022-04-10,14.58
C0065,O00130,2023-09-13,15.74
C0345,O00131,2022-06-22,119.54
C0327,O00132,2022-06-11,102.95
C0009,O00133,2023-12-29,152.67
C0344,O00134,2022-09-20,277.23
C0129,O00135,2022-10-01,117.74
C0492,O00136,2022-01-03,16.94
C0136,O00137,2022-01-28,27.9
C0472,O00138,2022-11-22,184.64
C0063,O00139,2022-05-29,23.48
C0139,O00140,2023-06-24,7.53
C0499,O00141,2023-05-03,121.5
C0081,O00142,2023-03-14,51.5
C0392,O00143,2022-03-06,252.62
C0163,O00144,2022-12-22,105.06
C0419,O00145,2023-06-17,9.48
C0289,O00146,2022-09-09,295.38
C0379,O00147,2022-08-23,29.92
C0261,O00148,2022-08-15,41.13
C0490,O00149,2023-06-09,51.46
C0231,O00150,2022-11-09,5.26
C0041,O00151,2022-02-18,68.62
C0028,O00152,2022-04-28,13.16
C0135,O00153,2022-02-23,51.24
C0201,O00154,2023-10-12,43.19
C0328,O00155,2023-07-19,148.21
C0268,O00156,2022-02-13,162.54
C0418,O00157,2022-02-22,16.65
C0033,O00158,2023-08-09,45.66
C0048,O00159,2023-07-12,46.74
C0407,O00160,2023-06-09,16.42
C0062,O00161,2023-11-08,160.17
C0216,O00162,2022-04-12,122.84
C0293,O00163,2023-02-02,21.12
C0099,O00164,2022-05-18,45.68
C0172,O00165,2023-11-06,11.18
C0360,O00166,2023-01-22,98.94
C0214,O00167,2022-04-21,12.94
C0475,O00168,2023-09-06,426.4
C0035,O00169,2022-01-17,151.72
C0449,O00170,2022-07-01,49.47
C0227,O00171,2023-06-20,86.41
C0101,O00172,2023-06-25,242.3
C0431,O00173,2022-06-20,80.77
C0462,O00174,2023-02-13,19.18
C0131,O00175,2023-01-13,47.59
C0257,O00176,2022-07-07,185.24
C0005,O00177,2022-08-18,103.34
C0218,O00178,2022-04-29,105.19
C0255,O00179,2022-06-05,201.61
C0398,O00180,2023-11-18,224.41
C0359,O00181,2023-04-10,252.31
C0283,O00182,2022-04-14,9.97
C0393,O00183,2023-08-27,78.55
C0207,O00184,2023-11-29,134.9
C0015,O00185,2023-05-17,141.44
C0346,O00186,2023-11-24,93.32
C0042,O00187,2023-11-13,18.25
C0380,O00188,2023-11-30,159.66
C0461,O00189,2022-06-24,127.34
C0179,O00190,2023-11-05,9.01
C0063,O00191,2023-02-25,62.33
C0352,O00192,2022-05-14,19.11
C0231,O00193,2023-01-26,41.17
C0241,O00194,2023-05-16,1.82
C0052,O00195,2023-10-27,51.14
C0096,O00196,2022-02-02,79.82
C0388,O00197,2022-02-24,96.65
C0222,O00198,2023-06-03,108.91
C0485,O00199,2023-09-30,180.97
C0407,O00200,2022-01-12,24.27
C0231,O00201,2023-06-12,12.84
C0237,O00202,2023-12-21,190.74
C0143,O00203,2023-07-09,17.03
C0171,O00204,2023-01-08,367.93
C0029,O00205,2023-04-29,184.86
C0036,O00206,2023-10-09,69.49
C0013,O00207,2022-08-16,398.57
C0160,O00208,2023-09-15,10.25
C0327,O00209,2022-11-03,36.11
C0187,O00210,2023-04-02,101.67
C0243,O00211,2022-06-09,43.08
C0086,O00212,2022-11-27,263.63
C0284,O00213,2022-08-13,6.79
C0066,O00214,2023-12-30,79.72
C0170,O00215,2023-05-19,89.37
C0045,O00216,2023-04-01,105.76
C0062,O00217,2022-02-14,29.53
C0441,O00218,2022-08-02,45.34
C0134,O00219,2022-02-28,185.59
C0284,O00220,2023-10-06,21.68
C0028,O00221,2023-09-08,175.37
C0108,O00222,2022-07-14,82.7
C0044,O00223,2023-05-04,143.63
C0340,O00224,2022-06-06,125.04
C0286,O00225,2023-09-02,23.26
C0446,O00226,2022-08-14,84.12
C0331,O00227,2023-02-16,202.29
C0128,O00228,2022-07-24,56.58
C0348,O00229,2022-03-20,339.89
C0473,O00230,2022-05-04,60.19
C0231,O00231,2023-04-16,15.41
C0190,O00232,2022-08-06,49.34
C0225,O00233,2023-05-31,303.04
C0385,O00234,2023-08-25,38.53
C0377,O00235,2022-04-14,202.57
C0283,O00236,2023-01-28,213.07
C0446,O00237,2023-09-23,43.11
C0121,O00238,2023-10-07,8.69
C0116,O00239,2023-08-31,128.94
C0461,O00240,2023-03-10,37.33
C0233,O00241,2022-11-27,152.75
C0259,O00242,2022-05-23,58.46
C0359,O00243,2023-06-24,66.41
C0198,O00244,2022-10-05,150.47
C0456,O00245,2022-08-21,48.19
C0411,O00246,2023-06-13,58.54
C0137,O00247,2023-07-25,47.19
C0318,O00248,2022-03-31,45.78
C0165,O00249,2023-05-07,74.64
C0225,O00250,2022-07-18,165.44
C0307,O00251,2022-12-28,44.91
C0234,O00252,2023-03-17,74.29
C0172,O00253,2022-01-26,111.09
C0152,O00254,2022-01-25,31.39
C0463,O00255,2023-01-29,32.51
C0315,O00256,2023-05-22,270.92
C0374,O00257,2022-10-28,128.57
C0160,O00258,2022-12-05,86.08
C0096,O00259,2022-09-24,104.33
C0472,O00260,2023-04-06,2.97
C0233,O00261,2023-11-24,96.26
C0180,O00262,2023-04-01,71.23
C0113,O00263,2022-12-26,78.91
C0318,O00264,2022-03-09,44.54
C0497,O00265,2023-02-16,8.5
C0442,O00266,2023-05-06,21.49
C0052,O00267,2022-02-18,301.07
C0268,O00268,2023-11-18,52.54
C0295,O00269,2023-07-18,62.86
C0386,O00270,2022-04-12,5.41
C0387,O00271,2022-08-04,3.83
C0113,O00272,2023-03-14,126.29
C0101,O00273,2023-12-01,77.24
C0113,O00274,2023-07-23,71.07
C0440,O00275,2023-07-13,27.86
C0081,O00276,2022-06-08,136.55
C0187,O00277,2023-05-04,18.42
C0113,O00278,2023-11-17,21.06
C0002,O00279,2022-08-30,61.75
C0130,O00280,2022-01-05,33.73
C0220,O00281,2023-08-19,28.43
C0054,O00282,2022-12-27,103.63
C0343,O00283,2023-04-04,105.26
C0485,O00284,2022-09-05,174.02
C0224,O00285,2023-07-20,54.08
C0225,O00286,2023-11-04,7.59
C0385,O00287,2023-02-26,31.97
C0403,O00288,2022-01-15,391.23
C0126,O00289,2023-07-27,90.7
C0130,O00290,2022-05-02,123.7
C0053,O00291,2022-10-04,0.74
C0172,O00292,2023-07-12,73.02
C0218,O00293,2023-03-29,3.83
C0160,O00294,2023-01-25,84.22
C0198,O00295,2022-10-21,253.54
C0416,O00296,2023-07-28,345.52
C0247,O00297,2023-08-21,77.77
C0324,O00298,2023-03-22,61.29
C0439,O00299,2022-07-29,290.07
C0203,O00300,2023-08-13,111.97
C0184,O00301,2023-12-15,6.71
C0123,O00302,2022-10-29,62.68
C0401,O00303,2022-08-11,27.48
C0255,O00304,2022-01-03,63.45
C0294,O00305,2023-06-02,60.78
C0280,O00306,2022-04-03,87.26
C0325,O00307,2023-06-04,44.13
C0372,O00308,2023-03-04,17.95
C0098,O00309,2023-05-08,70.06
C0198,O00310,2022-08-23,177.32
C0470,O00311,2023-09-12,109.07
C0395,O00312,2022-06-10,41.3
C0240,O00313,2023-12-22,274.14
C0144,O00314,2022-11-27,243.28
C0097,O00315,2022-11-29,23.49
C0201,O00316,2022-02-19,4.02
C0124,O00317,2023-06-07,135.21
C0187,O00318,2023-10-30,175.8
C0326,O00319,2023-05-07,343.78
C0464,O00320,2023-08-05,220.58
C0349,O00321,2023-11-12,91.76
C0259,O00322,2022-09-29,75.51
C0148,O00323,2023-08-03,2.82
C0252,O00324,2022-09-09,28.32
C0443,O00325,2023-07-14,61.55
C0420,O00326,2023-11-27,99.02
C0403,O00327,2023-11-30,81.48
C0346,O00328,2022-03-31,135.73
C0451,O00329,2023-03-22,32.82
C0147,O00330,2022-11-28,83.23
C0148,O00331,2022-05-19,9.23
C0352,O00332,2022-12-23,53.39
C0199,O00333,2023-08-24,138.69
C0308,O00334,2022-10-01,118.22
C0489,O00335,2022-01-19,467.16
C0417,O00336,2022-11-07,32.56
C0424,O00337,2022-06-03,68.95
C0128,O00338,2023-01-25,39.98
C0039,O00339,2022-09-17,58.09
C0338,O00340,2023-09-12,194.46
C0360,O00341,2023-07-25,115.27
C0129,O00342,2022-05-05,214.08
C0267,O00343,2022-12-20,22.75
C0476,O00344,2022-09-30,206.64
C0441,O00345,2023-09-11,6.16
C0473,O00346,2022-09-02,219.46
C0434,O00347,2023-03-26,39.91
C0151,O00348,2022-09-04,37.77
C0415,O00349,2023-06-04,71.76
C0478,O00350,2022-05-21,282.5
C0298,O00351,2022-12-28,4.9
C0099,O00352,2022-01-08,43.42
C0263,O00353,2023-04-23,194.19
C0252,O00354,2022-12-18,50.43
C0144,O00355,2023-05-10,22.21
C0346,O00356,2023-08-29,55.3
C0112,O00357,2023-03-03,48.7
C0500,O00358,2022-02-08,247.0
C0060,O00359,2023-08-16,143.52
C0369,O00360,2022-07-06,70.34
C0002,O00361,2023-08-19,445.42
C0385,O00362,2023-08-23,62.6
C0304,O00363,2022-04-03,6.0
C0254,O00364,2022-03-27,30.42
C0140,O00365,2022-02-13,57.28
C0453,O00366,2022-05-17,17.07
C0037,O00367,2023-02-25,294.82
C0160,O00368,2022-03-15,145.61
C0009,O00369,2023-07-02,31.24
C0233,O00370,2023-09-05,89.36
C0099,O00371,2023-05-27,127.82
C0147,O00372,2022-06-05,283.5
C0304,O00373,2022-09-12,213.4
C0208,O00374,2022-06-20,72.4
C0131,O00375,2023-12-29,149.01
C0404,O00376,2022-06-19,82.59
C0152,O00377,2022-11-18,80.45
C0054,O00378,2023-07-21,12.19
C0120,O00379,2023-04-01,13.48
C0161,O00380,2023-08-26,75.4
C0408,O00381,2023-09-05,31.32
C0116,O00382,2022-06-04,2.13
C0075,O00383,2022-12-15,128.32
C0113,O00384,2023-03-27,3.3
C0456,O00385,2023-10-15,90.46
C0420,O00386,2022-06-22,77.48
C0422,O00387,2022-01-10,346.78
C0104,O00388,2022-09-22,66.21
C0340,O00389,2023-03-14,6.57
C0254,O00390,2022-09-04,80.23
C0227,O00391,2023-10-29,183.95
C0112,O00392,2023-06-30,576.01
C0473,O00393,2023-05-14,56.27
C0099,O00394,2022-05-09,38.61
C0153,O00395,2023-11-03,237.14
C0349,O00396,2023-08-24,21.23
C0402,O00397,2023-08-28,95.56
C0384,O00398,2022-11-23,52.04
C0366,O00399,2023-02-08,4.2
C0338,O00400,2023-09-21,42.66
C0194,O00401,2023-08-29,30.82
C0310,O00402,2023-11-06,115.87
C0163,O00403,2023-09-03,297.18
C0208,O00404,2023-09-17,31.2
C0445,O00405,2022-12-25,166.85
C0169,O00406,2023-08-26,5.7
C0484,O00407,2023-12-19,77.25
C0161,O00408,2022-01-17,7.32
C0068,O00409,2022-10-01,271.86
C0289,O00410,2023-11-16,145.39
C0398,O00411,2022-04-26,107.28
C0277,O00412,2023-11-24,173.67
C0304,O00413,2022-04-01,104.28
C0404,O00414,2022-03-23,347.2
C0384,O00415,2022-11-20,125.16
C0392,O00416,2022-04-24,258.57
C0135,O00417,2022-02-27,72.8
C0195,O00418,2022-06-03,12.45
C0401,O00419,2023-02-08,75.12
C0128,O00420,2023-09-20,13.57
C0033,O00421,2022-09-23,89.77
C0176,O00422,2022-11-11,65.87
C0460,O00423,2023-12-16,97.44
C0443,O00424,2022-02-10,1.01
C0371,O00425,2022-04-15,21.67
C0470,O00426,2022-07-12,67.6
C0375,O00427,2023-02-05,300.59
C0022,O00428,2022-10-05,48.39
C0238,O00429,2022-12-20,55.23
C0158,O00430,2023-08-03,125.42
C0038,O00431,2023-12-10,92.58
C0230,O00432,2022-09-13,35.51
C0365,O00433,2023-10-13,52.9
C0051,O00434,2023-10-23,24.55
C0438,O00435,2022-04-09,338.2
C0264,O00436,2023-08-11,14.0
C0283,O00437,2022-10-09,46.5
C0027,O00438,2023-02-07,2.62
C0226,O00439,2022-04-19,25.07
C0277,O00440,2023-12-01,151.63
C0286,O00441,2022-07-18,22.46
C0097,O00442,2022-10-30,8.35
C0284,O00443,2022-11-23,64.33
C0367,O00444,2022-06-03,1.0
C0448,O00445,2023-07-06,8.86
C0481,O00446,2023-10-07,164.83
C0453,O00447,2023-02-09,147.61
C0317,O00448,2023-04-07,246.67
C0304,O00449,2022-05-12,192.77
C0147,O00450,2022-03-25,114.94
C0004,O00451,2023-02-03,5.38
C0035,O00452,2023-09-20,152.72
C0192,O00453,2022-04-19,186.76
C0049,O00454,2022-08-09,160.49
C0017,O00455,2023-07-07,71.03
C0172,O00456,2023-01-03,26.51
C0220,O00457,2022-05-27,186.65
C0158,O00458,2022-04-22,129.89
C0477,O00459,2023-09-07,395.08
C0046,O00460,2023-07-12,16.92
C0373,O00461,2023-05-09,25.58
C0006,O00462,2023-05-20,23.8
C0099,O00463,2023-04-20,157.28
C0380,O00464,2022-09-28,20.69
C0233,O00465,2023-02-25,6.9
C0037,O00466,2023-12-08,654.37
C0280,O00467,2023-01-02,2.51
C0349,O00468,2022-10-07,180.33
C0497,O00469,2022-10-10,45.47
C0302,O00470,2022-02-09,184.27
C0181,O00471,2022-07-08,80.88
C0095,O00472,2022-06-13,231.9
C0099,O00473,2023-06-20,260.63
C0188,O00474,2023-06-20,0.91
C0481,O00475,2022-01-04,7.84
C0116,O00476,2022-10-17,28.82
C0191,O00477,2023-03-09,110.66
C0253,O00478,2023-04-16,219.17
C0469,O00479,2022-06-30,61.61
C0416,O00480,2022-09-05,93.39
C0471,O00481,2023-09-20,20.89
C0161,O00482,2022-10-06,163.46
C0256,O00483,2023-08-04,342.12
C0323,O00484,2022-09-11,31.28
C0128,O00485,2022-06-30,68.29
C0018,O00486,2023-11-12,9.01
C0281,O00487,2023-05-24,81.9
C0490,O00488,2023-12-01,69.87
C0223,O00489,2023-07-20,15.6
C0054,O00490,2022-11-22,58.35
C0058,O00491,2022-12-23,40.66
C0323,O00492,2023-10-12,73.78
C0360,O00493,2023-11-11,88.11
C0174,O00494,2023-01-26,0.85
C0280,O00495,2023-09-07,143.13
C0114,O00496,2022-03-26,124.83
C0288,O00497,2022-11-13,45.62
C0431,O00498,2022-07-31,5.44
C0342,O00499,2023-05-30,140.62
C0151,O00500,2023-01-19,310.5
C0450,O00501,2023-11-22,27.46
C0127,O00502,2022-12-08,39.09
C0155,O00503,2022-02-07,20.31
C0490,O00504,2023-05-26,86.02
C0386,O00505,2023-02-24,16.82
C0474,O00506,2022-06-18,44.04
C0273,O00507,2022-12-09,119.41
C0104,O00508,2022-11-02,82.12
C0417,O00509,2023-06-26,48.85
C0393,O00510,2023-12-03,54.52
C0299,O00511,2023-06-21,82.58
C0246,O00512,2022-04-22,0.59
C0176,O00513,2023-02-15,8.18
C0039,O00514,2022-07-25,213.08
C0477,O00515,2022-07-04,8.11
C0170,O00516,2023-01-17,122.69
C0247,O00517,2023-05-11,252.62
C0026,O00518,2023-01-14,31.56
C0355,O00519,2022-02-16,46.28
C0306,O00520,2023-07-05,84.15
C0409,O00521,2023-06-12,213.46
C0408,O00522,2023-05-19,284.57
C0013,O00523,2022-01-22,134.54
C0316,O00524,2022-08-01,9.06
C0391,O00525,2022-11-06,110.61
C0313,O00526,2023-10-23,52.81
C0036,O00527,2022-09-29,63.62
C0173,O00528,2023-07-25,5.04
C0020,O00529,2022-07-21,21.2
C0321,O00530,2022-02-01,156.31
C0264,O00531,2023-03-19,60.51
C0494,O00532,2022-06-11,35.91
C0400,O00533,2022-09-11,48.45
C0142,O00534,2023-06-05,192.69
C0460,O00535,2023-10-13,138.23
C0371,O00536,2023-04-25,31.79
C0471,O00537,2022-01-10,12.5
C0143,O00538,2023-12-27,29.03
C0092,O00539,2023-05-20,253.52
C0354,O00540,2023-07-14,87.13
C0322,O00541,2023-03-12,76.25
C0288,O00542,2022-04-21,90.73
C0215,O00543,2022-06-02,45.58
C0447,O00544,2023-09-27,164.56
C0342,O00545,2022-04-12,74.08
C0051,O00546,2022-07-10,12.41
C0153,O00547,2023-12-30,13.82
C0186,O00548,2023-07-17,76.97
C0063,O00549,2022-03-22,275.78
C0190,O00550,2023-05-04,36.87
C0125,O00551,2022-03-29,203.67
C0150,O00552,2022-07-13,144.43
C0314,O00553,2022-04-14,28.48
C0058,O00554,2022-04-06,3.7
C0342,O00555,2023-02-27,10.74
C0305,O00556,2022-07-17,130.38
C0180,O00557,2022-01-01,22.27
C0170,O00558,2023-02-11,46.41
C0326,O00559,2023-01-13,69.66
C0271,O00560,2022-06-16,129.27
C0054,O00561,2023-05-24,12.02
C0491,O00562,2023-09-30,52.15
C0444,O00563,2022-11-09,66.37
C0101,O00564,2023-08-16,77.83
C0481,O00565,2023-02-22,170.57
C0264,O00566,2023-11-12,18.84
C0053,O00567,2023-04-22,164.94
C0060,O00568,2022-03-14,118.05
C0492,O00569,2022-05-21,81.16
C0108,O00570,2023-08-05,120.24
C0005,O00571,2022-09-19,53.11
C0103,O00572,2022-12-06,14.9
C0196,O00573,2022-11-04,109.59
C0262,O00574,2022-09-02,74.38
C0365,O00575,2023-05-30,101.99
C0480,O00576,2022-12-03,41.25
C0372,O00577,2023-07-29,237.37
C0350,O00578,2023-07-15,88.52
C0047,O00579,2022-03-17,8.93
C0355,O00580,2022-06-24,59.75
C0311,O00581,2022-04-19,141.2
C0424,O00582,2022-07-02,158.05
C0308,O00583,2022-07-11,68.24
C0144,O00584,2022-03-06,225.14
C0269,O00585,2023-04-19,31.15
C0370,O00586,2022-04-10,52.86
C0124,O00587,2023-06-28,228.87
C0106,O00588,2022-05-08,226.58
C0158,O00589,2023-03-28,115.74
C0147,O00590,2023-01-04,195.89
C0145,O00591,2022-02-12,9.3
C0120,O00592,2023-02-23,200.24
C0319,O00593,2023-05-03,38.66
C0275,O00594,2022-03-19,19.64
C0092,O00595,2022-09-27,27.36
C0058,O00596,2023-11-05,54.12
C0439,O00597,2023-12-02,28.93
C0346,O00598,2023-12-29,38.65
C0229,O00599,2022-11-11,14.5
C0474,O00600,2022-06-17,35.12
C0117,O00601,2022-12-05,84.93
C0318,O00602,2022-07-12,58.31
C0279,O00603,2023-03-29,42.57
C0127,O00604,2022-10-10,137.22
C0393,O00605,2022-12-02,223.97
C0396,O00606,2023-01-25,141.38
C0129,O00607,2023-06-09,40.35
C0058,O00608,2022-08-28,136.43
C0122,O00609,2023-04-28,16.49
C0001,O00610,2023-10-21,13.96
C0239,O00611,2023-12-17,42.41
C0290,O00612,2023-08-15,164.87
C0096,O00613,2023-07-09,28.28
C0126,O00614,2023-04-03,6.53
C0118,O00615,2022-03-30,14.12
C0048,O00616,2023-10-22,195.72
C0089,O00617,2022-04-05,100.45
C0488,O00618,2023-03-28,29.2
C0237,O00619,2023-03-04,81.03
C0373,O00620,2022-05-31,74.99
C0385,O00621,2023-05-29,106.55
C0272,O00622,2023-01-11,26.55
C0189,O00623,2022-01-22,199.81
C0487,O00624,2022-11-09,37.01
C0192,O00625,2023-06-03,118.46
C0447,O00626,2022-07-25,1.63
C0069,O00627,2023-01-10,46.63
C0278,O00628,2023-03-27,43.34
C0349,O00629,2023-09-18,78.41
C0247,O00630,2023-08-18,7.55
C0451,O00631,2022-06-28,156.13
C0076,O00632,2022-07-29,24.56
C0154,O00633,2023-05-15,113.02
C0144,O00634,2023-04-09,162.56
C0435,O00635,2022-05-04,82.53
C0485,O00636,2022-04-23,135.05
C0086,O00637,2022-01-12,108.43
C0185,O00638,2022-05-06,43.93
C0285,O00639,2023-07-19,165.47
C0462,O00640,2022-11-27,34.91
C0220,O00641,2022-10-10,84.68
C0069,O00642,2022-05-20,136.81
C0047,O00643,2023-02-05,47.64
C0497,O00644,2022-04-07,36.06
C0094,O00645,2023-06-01,61.5
C0238,O00646,2023-07-23,170.35
C0446,O00647,2022-03-10,265.81
C0500,O00648,2022-04-28,78.76
C0453,O00649,2022-02-28,108.31
C0204,O00650,2022-02-02,233.59
C0400,O00651,2022-11-14,10.37
C0218,O00652,2022-02-19,26.41
C0474,O00653,2023-05-04,123.41
C0432,O00654,2022-01-19,173.58
C0341,O00655,2023-12-27,194.51
C0039,O00656,2022-07-16,53.63
C0100,O00657,2023-03-26,9.36
C0289,O00658,2023-07-13,57.59
C0254,O00659,2023-11-10,26.23
C0222,O00660,2023-03-28,34.42
C0357,O00661,2022-10-16,147.96
C0023,O00662,2022-05-21,7.85
C0250,O00663,2022-03-25,175.78
C0010,O00664,2023-11-25,55.8
C0246,O00665,2023-01-26,90.65
C0325,O00666,2023-08-14,9.39
C0100,O00667,2022-08-03,41.15
C0290,O00668,2023-06-10,9.4
C0180,O00669,2022-08-03,325.82
C0223,O00670,2023-02-07,164.64
C0394,O00671,2022-05-08,61.55
C0250,O00672,2023-04-22,25.31
C0147,O00673,2023-02-08,270.99
C0442,O00674,2022-01-29,42.25
C0096,O00675,2022-12-04,17.55
C0257,O00676,2023-12-15,82.82
C0325,O00677,2022-12-27,287.84
C0493,O00678,2023-07-23,0.38
C0004,O00679,2023-01-27,27.2
C0016,O00680,2022-08-06,278.79
C0280,O00681,2023-07-28,18.76
C0336,O00682,2023-10-31,12.02
C0247,O00683,2022-07-21,84.44
C0258,O00684,2022-01-17,197.94
C0497,O00685,2022-11-18,64.84
C0476,O00686,2023-06-02,521.48
C0384,O00687,2023-07-24,113.68
C0160,O00688,2022-11-21,7.7
C0475,O00689,2023-02-16,493.81
C0340,O00690,2022-11-14,52.41
C0152,O00691,2023-11-12,33.88
C0396,O00692,2022-03-23,81.62
C0178,O00693,2023-04-19,36.28
C0163,O00694,2023-04-13,9.04
C0380,O00695,2023-03-01,0.14
C0033,O00696,2023-11-20,59.71
C0417,O00697,2022-07-23,181.32
C0445,O00698,2023-08-06,84.94
C0179,O00699,2023-01-22,714.01
C0427,O00700,2022-04-08,33.81
C0101,O00701,2022-12-11,32.91
C0268,O00702,2022-07-27,17.41
C0323,O00703,2023-05-29,17.92
C0065,O00704,2023-09-28,33.57
C0417,O00705,2023-08-09,157.43
C0168,O00706,2022-06-15,236.19
C0330,O00707,2022-01-22,369.24
C0043,O00708,2022-06-03,26.43
C0044,O00709,2023-03-15,213.11
C0285,O00710,2022-10-22,39.79
C0397,O00711,2022-08-07,11.97
C0012,O00712,2023-10-31,204.04
C0095,O00713,2023-05-10,101.09
C0302,O00714,2022-08-18,18.0
C0386,O00715,2022-01-20,56.18
C0253,O00716,2023-07-07,33.86
C0499,O00717,2022-05-28,133.48
C0242,O00718,2022-04-18,60.41
C0035,O00719,2023-02-07,453.56
C0215,O00720,2023-08-19,5.63
C0337,O00721,2023-04-28,43.85
C0090,O00722,2023-01-02,65.76
C0264,O00723,2023-02-18,69.94
C0093,O00724,2022-11-05,37.97
C0410,O00725,2022-05-14,130.65
C0458,O00726,2023-12-20,207.74
C0090,O00727,2022-10-10,279.23
C0418,O00728,2022-03-14,163.52
C0115,O00729,2023-04-26,190.1
C0105,O00730,2022-12-18,79.97
C0391,O00731,2023-07-14,174.81
C0196,O00732,2022-11-22,36.17
C0314,O00733,2023-03-19,50.83
C0114,O00734,2022-04-10,38.11
